id,zipcode,name,country_id/id
210,9690,Berchem (O.-Vl.),base.be
211,1082,Berchem-Sainte-Agathe,base.be
212,2040,Berendrecht,base.be
213,1910,Berg (Bt.),base.be
214,3700,Berg (Limb.),base.be
215,4360,Bergilers,base.be
216,3580,Beringen,base.be
217,2590,Berlaar,base.be
218,9290,Berlare,base.be
219,3830,Berlingen,base.be
220,4257,Berloz,base.be
221,4607,Berneau,base.be
222,7320,Bernissart,base.be
223,6560,Bersillies-l'Abbaye,base.be
224,3060,Bertem,base.be
225,6687,Bertogne,base.be
226,4280,Bertrée,base.be
227,6880,Bertrix,base.be
228,5651,Berzée,base.be
229,8980,Beselare,base.be
230,3130,Betekom,base.be
231,4300,Bettincourt,base.be
232,5030,Beuzet,base.be
233,2560,Bevel,base.be
234,1547,Bever,base.be
235,4960,Bevercé,base.be
236,9700,Bevere,base.be
237,8791,Beveren (Leie),base.be
238,8800,Beveren (Roeselare),base.be
239,8691,Beveren-aan-den-Ijzer,base.be
240,9120,Beveren-Waas,base.be
241,3581,Beverlo,base.be
242,3740,Beverst,base.be
243,4610,Beyne-Heusay,base.be
244,6543,Bienne-lez-Happart,base.be
245,3360,Bierbeek,base.be
246,6533,Biercée,base.be
247,1301,Bierges,base.be
248,1430,Bierghes,base.be
249,4460,Bierset,base.be
250,5380,Bierwart,base.be
251,5640,Biesme,base.be
252,5640,Biesmerée,base.be
253,6531,Biesme-sous-Thuin,base.be
254,1547,Biévène,base.be
255,5555,Bièvre,base.be
256,1390,Biez,base.be
257,6690,Bihain,base.be
258,8920,Bikschote,base.be
259,4831,Bilstain,base.be
260,3740,Bilzen,base.be
261,7130,Binche,base.be
262,3850,Binderveld,base.be
263,3211,Binkom,base.be
264,5537,Bioul,base.be
265,8501,Bissegem,base.be
266,7783,Bizet,base.be
267,2830,Blaasveld,base.be
268,5542,Blaimont,base.be
269,7522,Blandain,base.be
270,3052,Blanden,base.be
271,8370,Blankenberge,base.be
272,7040,Blaregnies,base.be
273,7321,Blaton,base.be
274,7370,Blaugies,base.be
275,4670,Blégny,base.be
276,7620,Bléharies,base.be
277,4280,Blehen,base.be
278,6760,Bleid,base.be
279,4300,Bleret,base.be
280,7903,Blicquy,base.be
281,3950,Bocholt,base.be
282,2530,Boechout,base.be
283,3890,Boekhout,base.be
284,9961,Boekhoute,base.be
285,4250,Boëlhe,base.be
286,8904,Boezinge,base.be
287,1670,Bogaarden,base.be
288,5550,Bohan,base.be
289,5140,Boignée,base.be
290,4690,Boirs,base.be
291,7866,Bois-de-Lessines,base.be
292,5170,Bois-de-Villers,base.be
293,7170,Bois-d'Haine,base.be
294,4560,Bois-et-Borsu,base.be
295,5310,Bolinne,base.be
296,4653,Bolland,base.be
297,1367,Bomal (Bt.),base.be
298,6941,Bomal-sur-Ourthe,base.be
299,4607,Bombaye,base.be
300,3840,Bommershoven,base.be
301,4100,Boncelles,base.be
302,5310,Boneffe,base.be
303,2820,Bonheiden,base.be
304,5021,Boninne,base.be
305,1325,Bonlez,base.be
306,6700,Bonnert,base.be
307,5300,Bonneville,base.be
308,7603,Bon-Secours,base.be
309,5377,Bonsin,base.be
310,2221,Booischot,base.be
311,8630,Booitshoeke,base.be
312,2850,Boom,base.be
313,3631,Boorsem,base.be
314,3190,Boortmeerbeek,base.be
315,1761,Borchtlombeek,base.be
316,2140,Borgerhout (Antwerpen),base.be
317,3840,Borgloon,base.be
318,4317,Borlez,base.be
319,3891,Borlo,base.be
320,6941,Borlon,base.be
321,2880,Bornem,base.be
322,1404,Bornival,base.be
323,2150,Borsbeek (Antw.),base.be
324,9552,Borsbeke,base.be
325,5032,Bossière,base.be
326,8583,Bossuit,base.be
327,1390,Bossut-Gottechain,base.be
328,3300,Bost,base.be
329,5032,Bothey,base.be
330,9820,Bottelare,base.be
331,6200,Bouffioulx,base.be
332,5004,Bouge,base.be
333,7040,Bougnies,base.be
334,6830,Bouillon,base.be
335,6464,Bourlers,base.be
336,5575,Bourseigne-Neuve,base.be
337,5575,Bourseigne-Vieille,base.be
338,7110,Boussoit,base.be
339,7300,Boussu,base.be
340,5660,Boussu-en-Fagne,base.be
341,6440,Boussu-lez-Walcourt,base.be
342,1470,Bousval,base.be
343,3370,Boutersem,base.be
344,5500,Bouvignes-sur-Meuse,base.be
345,7803,Bouvignies,base.be
346,2288,Bouwel,base.be
347,8680,Bovekerke,base.be
348,3870,Bovelingen,base.be
349,4300,Bovenistier,base.be
350,5081,Bovesse,base.be
351,6671,Bovigny,base.be
352,4990,Bra,base.be
353,7604,Braffe,base.be
354,5590,Braibant,base.be
355,1420,Braine-l'Alleud,base.be
356,1440,Braine-le-Château,base.be
357,7090,Braine-le-Comte,base.be
358,4260,Braives,base.be
359,9660,Brakel,base.be
360,5310,Branchon,base.be
361,6800,Bras,base.be
362,7604,Brasmenil,base.be
363,2930,Brasschaat,base.be
364,7130,Bray,base.be
365,2960,Brecht,base.be
366,8450,Bredene,base.be
367,3960,Bree,base.be
368,2870,Breendonk,base.be
369,4020,Bressoux,base.be
370,8900,Brielen,base.be
371,2520,Broechem,base.be
372,3840,Broekom,base.be
373,1931,Brucargo,base.be
